prompt,image_name,index,quality_score,std_quality,mos_align,std_align
statue of a man,AttnGAN_normal_000.jpg,0,0.965602553,0.223270101,0.40889324,0.615607722
statue of a man,DALLE2_normal_000.jpg,0,3.058757207,0.538696487,3.481534167,0.46101074
statue of a man,glide_normal_000.jpg,0,1.478221045,0.512782138,1.511295292,1.049921294
statue of a man,midjourney_lowstep_000.jpg,0,2.837204233,0.410622239,4.093672499,0.493239159
statue of a man,midjourney_normal_000.jpg,0,4.324875409,0.596421622,4.04858855,0.2982765
statue of a man,sd1.5_highcorr_000.jpg,0,3.283005153,0.723740275,3.185246111,0.592719018
statue of a man,sd1.5_lowcorr_000.jpg,0,3.263456549,0.436511135,3.831912184,0.464478632
statue of a man,sd1.5_lowstep_000.jpg,0,3.389757837,0.386878257,4.180579424,0.381638488
statue of a man,sd1.5_normal_000.jpg,0,0.44999057,0.319877891,0.678198368,0.488624139
statue of a man,xl2.2_normal_000.jpg,0,3.088457462,0.495642922,3.458082253,0.571191471
house of the dragon,AttnGAN_normal_005.jpg,5,1.106599613,0.448890123,0.70896187,0.593561806
house of the dragon,DALLE2_normal_005.jpg,5,3.430745058,0.865400549,3.202040316,0.337856509
house of the dragon,glide_normal_005.jpg,5,1.539115041,0.272476936,1.698194229,0.93653824
house of the dragon,midjourney_lowstep_005.jpg,5,2.731010208,0.632427665,2.971918712,0.674021424
house of the dragon,midjourney_normal_005.jpg,5,3.773032655,0.550466888,3.433697306,0.670514487
house of the dragon,sd1.5_highcorr_005.jpg,5,3.43455948,0.550046299,2.653500595,0.766464444
house of the dragon,sd1.5_lowcorr_005.jpg,5,2.64254653,0.811467431,2.982848125,0.57081922
house of the dragon,sd1.5_lowstep_005.jpg,5,3.421003889,0.841415181,2.960067189,0.84593764
house of the dragon,sd1.5_normal_005.jpg,5,2.61389334,0.397467103,2.445567744,0.990118601
house of the dragon,xl2.2_normal_005.jpg,5,3.324474137,0.609880881,2.745874276,1.240522135
a river in a forest,AttnGAN_normal_006.jpg,6,1.062470367,0.665815742,0.626274844,0.998303735
a river in a forest,DALLE2_normal_006.jpg,6,3.330022312,0.851156854,3.944689199,0.593399912
a river in a forest,glide_normal_006.jpg,6,1.343816114,0.329223598,3.112865772,0.915899406
a river in a forest,midjourney_lowstep_006.jpg,6,1.445015122,0.644375539,1.837474519,1.33223782
a river in a forest,midjourney_normal_006.jpg,6,3.756916035,0.744029567,3.930743523,0.750581128
a river in a forest,sd1.5_highcorr_006.jpg,6,3.896040489,0.518657969,3.831912184,0.706517961
a river in a forest,sd1.5_lowcorr_006.jpg,6,3.502054974,0.51933781,3.994551072,0.582417049
a river in a forest,sd1.5_lowstep_006.jpg,6,3.460260441,1.10483099,3.603910098,1.170851153
a river in a forest,sd1.5_normal_006.jpg,6,3.263456549,0.567213654,3.615310202,0.530166825
a river in a forest,xl2.2_normal_006.jpg,6,3.572719808,0.386334369,3.831912184,0.396420043
joe biden very happy,AttnGAN_normal_008.jpg,8,1.230273953,0.574807841,0.577911226,0.711439334
joe biden very happy,glide_normal_008.jpg,8,1.599484777,0.377380508,1.519124647,1.464568543
joe biden very happy,midjourney_lowstep_008.jpg,8,2.74826005,0.280607807,3.588197866,0.29803017
joe biden very happy,midjourney_normal_008.jpg,8,2.736106345,0.64307607,3.391795303,0.805137727
joe biden very happy,sd1.5_highcorr_008.jpg,8,3.330022312,0.575477002,4.106087774,0.37188477
joe biden very happy,sd1.5_lowcorr_008.jpg,8,3.238537588,0.450337076,3.491984103,0.807906209
joe biden very happy,sd1.5_lowstep_008.jpg,8,2.598262134,0.296827369,3.832951723,0.606471401
joe biden very happy,sd1.5_normal_008.jpg,8,3.162256259,0.765122134,3.647455477,0.234010576
joe biden very happy,xl2.2_normal_008.jpg,8,3.790180796,0.674059997,3.654274032,0.848578602
girl from fight club,AttnGAN_normal_009.jpg,9,1.222173929,0.637559058,0.420831212,0.549756696
girl from fight club,DALLE2_normal_009.jpg,9,3.127756575,0.73335884,3.4459796,0.810489819
girl from fight club,glide_normal_009.jpg,9,0.754308478,0.323115349,0.277575547,0.515737277
girl from fight club,midjourney_lowstep_009.jpg,9,3.421003889,0.665631714,3.161543067,0.472613666
girl from fight club,midjourney_normal_009.jpg,9,3.792972629,0.465549183,3.323925447,0.621589414
girl from fight club,sd1.5_highcorr_009.jpg,9,3.025091285,0.842785869,3.022343767,0.53010911
girl from fight club,sd1.5_lowcorr_009.jpg,9,2.874527714,0.653036503,2.275412354,1.103290064
girl from fight club,sd1.5_lowstep_009.jpg,9,2.574642925,0.357780324,1.928094768,0.672509907
girl from fight club,sd1.5_normal_009.jpg,9,3.986962403,0.206308784,2.775303755,1.170266041
girl from fight club,xl2.2_normal_009.jpg,9,3.757702826,0.420776374,3.381448298,0.66965805
face shot of a woman,AttnGAN_normal_010.jpg,10,1.311956077,0.754244761,0.178657573,0.569770583
face shot of a woman,DALLE2_normal_010.jpg,10,2.841733922,0.448757939,3.159306031,1.317152981
face shot of a woman,glide_normal_010.jpg,10,1.106599613,0.8161563,0.341602936,0.341917555
face shot of a woman,midjourney_lowstep_010.jpg,10,3.066652656,0.426446392,3.592509994,0.774877561
face shot of a woman,midjourney_normal_010.jpg,10,4.172725551,0.769329252,4.286204297,0.549834454
face shot of a woman,sd1.5_highcorr_010.jpg,10,0.887752418,0.543146071,1.460690493,1.184797491
face shot of a woman,sd1.5_lowcorr_010.jpg,10,2.897434093,0.646565153,3.763463406,0.654049046
face shot of a woman,sd1.5_lowstep_010.jpg,10,3.659493494,0.386315776,3.915003482,0.423033914
face shot of a woman,sd1.5_normal_010.jpg,10,2.83450926,0.59033734,3.576346344,1.019465776
face shot of a woman,xl2.2_normal_010.jpg,10,3.931077949,0.428812245,3.814814682,0.349437528
the prince of the sun,AttnGAN_normal_011.jpg,11,1.373098268,0.432051187,0.647652682,0.72337619
the prince of the sun,DALLE2_normal_011.jpg,11,3.430745058,0.365402584,0.983010198,0.671414952
the prince of the sun,glide_normal_011.jpg,11,1.719307075,1.034112523,1.848675793,0.983798401
the prince of the sun,midjourney_lowstep_011.jpg,11,2.315150439,0.708509956,3.080096813,0.88535704
the prince of the sun,midjourney_normal_011.jpg,11,3.825753384,0.835835845,3.113705614,1.275609717
the prince of the sun,sd1.5_highcorr_011.jpg,11,2.742340814,0.790415043,3.430465396,0.794066568
the prince of the sun,sd1.5_lowcorr_011.jpg,11,3.116324583,0.41998477,2.979908012,0.639901652
the prince of the sun,sd1.5_lowstep_011.jpg,11,1.977251303,0.616732069,2.11394401,0.853111778
the prince of the sun,sd1.5_normal_011.jpg,11,2.203182133,0.422209804,2.486100389,1.168908991
the prince of the sun,xl2.2_normal_011.jpg,11,3.524062705,1.060968213,3.627943604,0.606038082
life bar and mana bar,AttnGAN_normal_012.jpg,12,1.337589887,0.548578888,0.936285696,0.523195868
life bar and mana bar,DALLE2_normal_012.jpg,12,2.792237956,1.089499638,2.69321342,0.892229676
life bar and mana bar,glide_normal_012.jpg,12,1.010879855,0.226619409,0.731218487,0.967764084
life bar and mana bar,midjourney_lowstep_012.jpg,12,2.610261314,0.490237202,1.976390846,1.182303538
life bar and mana bar,midjourney_normal_012.jpg,12,3.530547546,0.486796202,0.993286217,1.03687994
life bar and mana bar,sd1.5_highcorr_012.jpg,12,3.093256891,0.410565617,2.059351502,1.156654434
life bar and mana bar,sd1.5_lowcorr_012.jpg,12,2.627511156,0.492987338,1.454923869,0.835780542
life bar and mana bar,sd1.5_lowstep_012.jpg,12,2.093677968,0.599045989,1.758483236,1.173974248
life bar and mana bar,sd1.5_normal_012.jpg,12,2.989757839,0.429197186,2.142312157,1.000489566
life bar and mana bar,xl2.2_normal_012.jpg,12,3.601888857,0.416466271,1.019587617,1.234648149
everything is a dream,AttnGAN_normal_013.jpg,13,1.230273953,0.54561589,1.146784292,1.117565554
everything is a dream,DALLE2_normal_013.jpg,13,3.010422973,0.389494056,1.18708799,1.160976524
everything is a dream,glide_normal_013.jpg,13,0.862881799,0.757172769,1.231874682,0.931758647
