prompt,image_name,index,Quality,Authenticity,Correspondence,score_1,score_2,score_3,score_4,score_5
a corgi,Controlnet/000-1.png,0,0.601641784272688,0.4724654086896269,0.599858733492637,4,4,3,2,3
a corgi,Controlnet/000-2.png,0,0.547488782945869,0.424822427887229,0.572338260012088,3,3,3,2,3
a corgi,Controlnet/000-3.png,0,0.493219284850192,0.415136888570317,0.535424148920043,3,4,3,2,1
a corgi,Controlnet/000-4.png,0,0.570137695922788,0.515801608187804,0.602230739812681,4,4,4,3,3
a corgi,DALLE/000-1.png,0,0.698963010426329,0.674662469470443,0.662880370629596,4,3,3,3,3
a corgi,DALLE/000-2.png,0,0.621103934515632,0.606257237019357,0.656949028810416,4,4,4,3,3
a corgi,DALLE/000-3.png,0,0.633029793764934,0.621333698516614,0.639382687783885,3,3,2,3,2
a corgi,DALLE/000-4.png,0,0.663023031617994,0.695902433929191,0.70820394857775,3,4,3,3,3
a corgi,Glide/000-1.png,0,0.384188142476458,0.494165945267182,0.525659481838369,2,3,2,3,3
a corgi,Glide/000-2.png,0,0.374449329961749,0.485396888815793,0.501843868646045,3,3,4,3,3
a corgi,Glide/000-3.png,0,0.407556092381559,0.459588880952931,0.549009153957545,2,2,2,2,3
a corgi,Glide/000-4.png,0,0.439772703225667,0.528685969225672,0.592582928423943,2,3,2,3,3
a corgi,Lafite/000-1.png,0,0.3399559394834739,0.347772395611889,0.38046184930783,2,2,2,2,3
a corgi,Lafite/000-2.png,0,0.332957427138365,0.327053313096475,0.412714708790357,1,2,2,1,3
a corgi,Lafite/000-3.png,0,0.398964905427663,0.385986075422704,0.449419705967248,2,3,2,1,2
a corgi,Lafite/000-4.png,0,0.36567405205141,0.363101381360306,0.378242688063539,1,2,1,1,2
a corgi,stable-diffusion/000-1.png,0,0.6725035862272271,0.664679857550296,0.640895795344628,4,4,3,2,3
a corgi,stable-diffusion/000-2.png,0,0.407062519140022,0.457763286347989,0.543278574245623,2,2,2,3,3
a corgi,stable-diffusion/000-3.png,0,0.614899450013953,0.59836714915396,0.6417752116151649,4,4,4,3,3
